,ds,y
0,2023-06-01,85267.06558038035
1,2023-06-02,86785.94712163
2,2023-06-03,86785.94712163
3,2023-06-04,86785.94712163
4,2023-06-05,86581.06819238348
5,2023-06-06,86897.11207353609
6,2023-06-07,86940.68350776947
7,2023-06-08,87296.45618735501
8,2023-06-09,87256.07686312444
9,2023-06-10,87256.07686312444
10,2023-06-11,87256.07686312444
11,2023-06-12,88111.7144070383
12,2023-06-13,88821.53639297881
13,2023-06-14,88734.18296712163
14,2023-06-15,89841.88432577124
15,2023-06-16,89620.7324743994
16,2023-06-17,89620.7324743994
17,2023-06-18,89620.7324743994
18,2023-06-19,89620.7324743994
19,2023-06-20,89057.48551192817
20,2023-06-21,89043.5415944788
21,2023-06-22,88944.97105680635
22,2023-06-23,88406.20074265046
23,2023-06-24,88406.20074265046
24,2023-06-25,88406.20074265046
25,2023-06-26,88653.64021531527
26,2023-06-27,89736.10450336483
27,2023-06-28,89673.71832705165
28,2023-06-29,90243.7383662754
29,2023-06-30,91258.11170352071
30,2023-07-01,91258.11170352071
31,2023-07-02,91258.11170352071
32,2023-07-03,91171.81331805729
33,2023-07-04,91171.81331805729
34,2023-07-05,90753.15788693514
35,2023-07-06,89889.00575132821
36,2023-07-07,89759.5511848141
37,2023-07-08,89759.5511848141
38,2023-07-09,89759.5511848141
39,2023-07-10,90977.44428336469
40,2023-07-11,91626.01985984339
41,2023-07-12,92250.28949786935
42,2023-07-13,92592.46880276053
43,2023-07-14,92608.86526943813
44,2023-07-15,92608.86526943813
45,2023-07-16,92608.86526943813
46,2023-07-17,93107.4951511635
47,2023-07-18,93576.43558693858
48,2023-07-19,93632.75552182691
49,2023-07-20,93001.87784588704
50,2023-07-21,93265.51450806804
51,2023-07-22,93265.51450806804
52,2023-07-23,93265.51450806804
53,2023-07-24,93338.23220556774
54,2023-07-25,93795.30061093176
55,2023-07-26,93719.10962795075
56,2023-07-27,92760.77193171866
57,2023-07-28,93294.55932339767
58,2023-07-29,93294.55932339767
59,2023-07-30,93294.55932339767
60,2023-07-31,93419.52878136412
61,2023-08-01,93238.40801951168
62,2023-08-02,92288.79820261511
63,2023-08-03,91909.1796320302
64,2023-08-04,91777.70963138163
65,2023-08-05,91777.70963138163
66,2023-08-06,91777.70963138163
67,2023-08-07,92769.7868948082
68,2023-08-08,92263.36925127493
69,2023-08-09,91864.36623225376
70,2023-08-10,91741.04480459623
71,2023-08-11,91667.49234739592
72,2023-08-12,91667.49234739592
73,2023-08-13,91667.49234739592
74,2023-08-14,92054.5607862701
75,2023-08-15,91202.46914402532
76,2023-08-16,90526.76398486659
77,2023-08-17,89545.77508295889
78,2023-08-18,89556.63387616078
79,2023-08-19,89556.63387616078
80,2023-08-20,89556.63387616078
81,2023-08-21,89767.51136705137
82,2023-08-22,89711.49074387382
83,2023-08-23,90556.96956582874
84,2023-08-24,89505.97272968148
85,2023-08-25,90003.82007987007
86,2023-08-26,90003.82007987007
87,2023-08-27,90003.82007987007
88,2023-08-28,90638.76963889724
89,2023-08-29,91911.38683239493
90,2023-08-30,92427.84905923542
91,2023-08-31,92147.51465090107
92,2023-09-01,92549.93929169909
93,2023-09-02,92549.93929169909
94,2023-09-03,92549.93929169909
95,2023-09-04,92549.93929169909
96,2023-09-05,91517.86880082867
97,2023-09-06,91391.46843494204
98,2023-09-07,91196.34980730775
99,2023-09-08,90979.64121127353
100,2023-09-09,90979.64121127353
101,2023-09-10,90979.64121127353
102,2023-09-11,91251.49407137463
103,2023-09-12,90578.82567570865
104,2023-09-13,90378.88291817986
105,2023-09-14,91347.90492792799
106,2023-09-15,90301.74197044458
107,2023-09-16,90301.74197044458
108,2023-09-17,90301.74197044458
109,2023-09-18,90335.70757942277
110,2023-09-19,90169.47115635504
111,2023-09-20,89860.31799305428
112,2023-09-21,88124.2721769142
113,2023-09-22,88174.5895162151
114,2023-09-23,88174.5895162151
