,ds,yhat,y
336,2024-05-02,107508.47389523123,104421.86040393588
337,2024-05-03,107580.13108400434,105441.55997017032
338,2024-05-04,107545.97074579127,105441.55997017032
339,2024-05-05,107495.91042667502,105441.55997017032
340,2024-05-06,107597.42764310424,106486.3188180737
341,2024-05-07,107631.77613382033,106884.36363192054
342,2024-05-08,107579.48586853285,106642.87071960344
343,2024-05-09,107647.89034265,107608.8064436954
344,2024-05-10,107719.54753142307,108148.72491097408
345,2024-05-11,107685.38719321263,108148.72491097408
346,2024-05-12,107635.32687409382,108148.72491097408
347,2024-05-13,107736.84409052336,107652.41040560987
348,2024-05-14,107771.19258123946,108081.13736026954
349,2024-05-15,107718.9023159517,109524.39736830525
350,2024-05-16,107787.30679006831,109017.39958034676
351,2024-05-17,107858.9639788418,109118.72296230696
352,2024-05-18,107824.80364063078,109118.72296230696
353,2024-05-19,107774.74332151261,109118.72296230696
354,2024-05-20,107876.2605379428,109311.87633223296
355,2024-05-21,107910.60902865819,109056.55554180322
356,2024-05-22,107858.31876337092,108612.87806614996
357,2024-05-23,107926.72323748705,107478.5306617364
358,2024-05-24,107998.3804262602,108157.7365561323
359,2024-05-25,107964.22008804904,108157.7365561323
360,2024-05-26,107914.1597689313,108157.7365561323
361,2024-05-27,108015.67698535901,108157.7365561323
362,2024-05-28,108050.0254760769,107481.70060841634
363,2024-05-29,107997.73521078975,106191.71335095672
364,2024-05-30,108066.13968490601,106251.01658501964
365,2024-05-31,108137.79687367893,107333.3101053238
